y_pred,y_true
12.0,15
8.0,4
12.0,0
12.0,12
10.0,11
12.0,9
12.0,6
12.0,3
12.0,6
12.0,6
10.0,4
11.0,18
12.0,7
10.0,13
17.0,7
11.0,29
10.0,1
11.0,4
11.0,6
11.0,13
11.0,7
11.0,4
11.0,34
11.0,7
12.0,3
12.0,6
11.0,31
9.0,2
10.0,4
11.0,4
8.0,8
10.0,3
12.0,10
9.0,8
11.0,5
13.0,12
11.0,21
12.0,7
11.0,15
10.0,9
11.0,9
11.0,17
10.0,27
13.0,6
12.0,8
12.0,7
11.0,5
12.0,11
12.0,8
13.0,21
10.0,5
11.0,7
8.0,11
10.0,9
11.0,8
10.0,1
10.0,26
11.0,14
12.0,5
10.0,18
11.0,6
12.0,8
11.0,23
12.0,13
11.0,15
10.0,16
12.0,14
13.0,17
12.0,4
16.0,7
12.0,10
8.0,3
9.0,16
10.0,9
12.0,7
10.0,3
12.0,15
12.0,22
12.0,8
10.0,15
10.0,13
11.0,15
10.0,8
11.0,9
11.0,8
13.0,10
11.0,14
10.0,9
9.0,12
11.0,12
12.0,8
12.0,8
11.0,11
11.0,4
11.0,13
11.0,4
9.0,7
10.0,13
12.0,16
13.0,2
11.0,24
11.0,17
12.0,14
11.0,6
11.0,11
10.0,2
11.0,9
9.0,12
12.0,6
10.0,7
7.0,8
11.0,16
11.0,14
11.0,6
12.0,9
10.0,4
9.0,5
12.0,11
12.0,11
10.0,6
11.0,6
11.0,6
12.0,10
12.0,12
10.0,21
11.0,3
11.0,13
10.0,3
13.0,2
13.0,8
11.0,9
13.0,6
8.0,7
12.0,11
13.0,18
11.0,14
13.0,19
11.0,3
11.0,21
12.0,31
11.0,4
11.0,5
11.0,1
9.0,12
9.0,14
11.0,3
11.0,4
11.0,7
11.0,14
11.0,6
12.0,12
11.0,4
11.0,11
11.0,2
10.0,11
11.0,26
10.0,1
12.0,5
11.0,12
11.0,15
10.0,2
11.0,15
12.0,30
11.0,16
10.0,8
12.0,8
11.0,6
12.0,9
11.0,7
11.0,7
11.0,16
12.0,21
11.0,11
13.0,1
11.0,8
10.0,14
11.0,12
11.0,1
12.0,10
11.0,0
11.0,7
11.0,2
11.0,8
11.0,21
11.0,6
11.0,3
11.0,9
10.0,9
11.0,22
11.0,8
11.0,9
12.0,5
12.0,23
11.0,3
11.0,7
12.0,11
11.0,8
11.0,24
10.0,6
9.0,14
11.0,8
11.0,10
12.0,6
11.0,16
10.0,9
9.0,10
11.0,19
10.0,5
8.0,7
12.0,9
11.0,9
12.0,17
11.0,8
11.0,1
12.0,8
11.0,2
10.0,9
12.0,25
11.0,14
18.0,3
9.0,6
12.0,7
12.0,6
11.0,11
10.0,34
10.0,3
12.0,33
11.0,13
11.0,5
10.0,6
10.0,7
11.0,8
12.0,10
13.0,18
11.0,26
18.0,3
12.0,11
12.0,8
12.0,25
10.0,10
12.0,19
10.0,15
12.0,13
11.0,7
10.0,13
9.0,17
12.0,6
9.0,12
10.0,4
12.0,4
11.0,15
11.0,15
10.0,6
13.0,7
13.0,38
13.0,18
9.0,4
10.0,7
10.0,1
11.0,16
11.0,16
12.0,30
12.0,22
11.0,13
11.0,17
12.0,10
11.0,2
11.0,6
11.0,11
11.0,9
13.0,27
11.0,5
11.0,10
11.0,9
10.0,9
11.0,12
10.0,0
11.0,0
11.0,6
10.0,16
12.0,12
18.0,7
11.0,7
14.0,11
10.0,14
11.0,10
10.0,11
11.0,26
11.0,20
11.0,8
7.0,22
11.0,11
12.0,4
11.0,5
10.0,15
11.0,6
10.0,9
9.0,7
11.0,3
9.0,0
10.0,6
12.0,36
11.0,13
11.0,12
10.0,4
12.0,13
12.0,10
12.0,24
11.0,8
10.0,3
12.0,4
12.0,13
10.0,8
11.0,16
12.0,7
10.0,24
9.0,10
10.0,13
10.0,4
11.0,1
10.0,10
12.0,17
10.0,10
11.0,7
11.0,21
10.0,5
10.0,5
9.0,2
12.0,22
12.0,24
13.0,3
11.0,15
11.0,13
10.0,12
11.0,14
7.0,4
11.0,1
9.0,12
11.0,8
11.0,5
12.0,11
11.0,5
11.0,17
11.0,11
10.0,12
10.0,19
12.0,5
11.0,18
12.0,6
12.0,9
13.0,14
11.0,15
10.0,0
11.0,11
10.0,10
11.0,4
10.0,21
13.0,6
10.0,10
11.0,4
11.0,6
10.0,6
12.0,7
12.0,11
12.0,6
11.0,14
11.0,13
12.0,11
11.0,19
11.0,10
13.0,10
11.0,5
8.0,7
12.0,10
12.0,6
9.0,7
12.0,7
11.0,10
12.0,15
12.0,18
11.0,21
12.0,16
12.0,3
11.0,1
11.0,16
11.0,9
12.0,13
12.0,12
11.0,5
12.0,12
8.0,8
10.0,14
12.0,10
12.0,7
12.0,13
12.0,14
10.0,8
12.0,6
12.0,4
11.0,9
11.0,11
12.0,26
10.0,12
11.0,13
11.0,3
11.0,7
12.0,15
12.0,5
10.0,13
10.0,8
11.0,3
11.0,8
12.0,16
8.0,1
12.0,14
13.0,12
13.0,12
11.0,11
11.0,8
11.0,6
12.0,18
9.0,24
11.0,12
11.0,8
8.0,0
9.0,4
10.0,6
11.0,21
10.0,8
12.0,11
11.0,5
10.0,8
11.0,24
8.0,10
11.0,15
11.0,8
12.0,10
12.0,22
10.0,4
11.0,13
12.0,10
10.0,6
13.0,10
10.0,12
11.0,26
11.0,6
11.0,9
12.0,8
11.0,0
13.0,4
12.0,8
11.0,8
9.0,8
12.0,15
13.0,5
12.0,17
10.0,16
11.0,6
11.0,10
12.0,3
12.0,5
11.0,13
11.0,5
10.0,8
10.0,22
12.0,17
11.0,7
9.0,27
9.0,4
10.0,13
11.0,9
12.0,5
10.0,2
11.0,1
9.0,0
9.0,8
12.0,13
10.0,7
11.0,3
8.0,5
10.0,8
10.0,3
11.0,4
11.0,8
10.0,25
10.0,14
11.0,11
12.0,4
10.0,30
10.0,18
11.0,6
11.0,7
10.0,2
11.0,6
10.0,18
10.0,16
10.0,3
11.0,7
11.0,10
11.0,6
12.0,13
12.0,14
12.0,10
12.0,4
10.0,4
13.0,9
12.0,5
12.0,27
10.0,9
12.0,13
10.0,6
11.0,7
11.0,23
12.0,30
7.0,10
10.0,12
9.0,11
8.0,5
10.0,2
12.0,14
12.0,4
12.0,7
11.0,15
13.0,15
12.0,10
8.0,5
11.0,18
11.0,5
7.0,5
11.0,9
12.0,10
10.0,10
10.0,21
10.0,25
11.0,6
10.0,13
11.0,3
10.0,6
12.0,16
11.0,7
11.0,1
10.0,39
11.0,4
11.0,13
10.0,23
10.0,8
11.0,5
10.0,13
10.0,8
10.0,16
11.0,29
11.0,7
11.0,6
11.0,7
11.0,15
9.0,3
11.0,9
10.0,10
11.0,6
11.0,11
12.0,10
11.0,10
8.0,4
11.0,12
10.0,7
11.0,5
10.0,4
11.0,16
11.0,9
12.0,6
11.0,14
7.0,14
11.0,14
11.0,5
11.0,20
13.0,4
10.0,13
10.0,5
13.0,5
11.0,23
10.0,9
11.0,9
12.0,15
12.0,9
11.0,4
12.0,11
11.0,12
11.0,12
9.0,4
11.0,9
12.0,14
10.0,15
7.0,17
11.0,8
10.0,26
10.0,4
10.0,13
11.0,4
10.0,13
11.0,9
12.0,14
12.0,10
11.0,10
10.0,15
10.0,13
12.0,21
12.0,41
11.0,8
11.0,24
10.0,10
12.0,9
11.0,9
12.0,13
11.0,10
11.0,8
10.0,10
10.0,4
11.0,11
9.0,14
10.0,17
11.0,18
11.0,16
11.0,17
11.0,12
12.0,25
11.0,23
11.0,6
10.0,5
10.0,10
11.0,2
9.0,16
11.0,11
12.0,9
9.0,16
10.0,11
11.0,6
11.0,3
12.0,50
11.0,3
11.0,15
12.0,4
11.0,2
11.0,8
12.0,6
11.0,29
12.0,18
13.0,9
11.0,18
11.0,3
12.0,20
11.0,12
10.0,7
11.0,3
12.0,1
9.0,5
11.0,6
10.0,0
11.0,10
11.0,11
11.0,9
12.0,15
11.0,14
10.0,3
10.0,11
10.0,11
9.0,14
11.0,18
12.0,6
12.0,4
9.0,6
11.0,10
10.0,29
11.0,1
11.0,11
12.0,15
10.0,16
10.0,44
12.0,11
12.0,16
11.0,17
12.0,11
11.0,34
11.0,20
11.0,8
10.0,6
9.0,7
13.0,31
10.0,1
13.0,11
12.0,7
10.0,13
11.0,10
11.0,15
9.0,9
9.0,3
10.0,18
12.0,9
10.0,10
10.0,23
11.0,1
12.0,11
10.0,5
12.0,7
10.0,12
12.0,2
11.0,18
11.0,6
11.0,8
12.0,37
12.0,21
11.0,3
17.0,5
11.0,12
12.0,20
12.0,9
11.0,4
11.0,11
10.0,7
11.0,12
10.0,9
11.0,5
11.0,3
11.0,11
12.0,5
11.0,14
9.0,11
11.0,7
10.0,7
12.0,6
10.0,6
12.0,12
11.0,7
12.0,9
11.0,14
11.0,16
9.0,33
11.0,0
10.0,14
11.0,13
11.0,13
13.0,7
10.0,8
11.0,12
11.0,9
10.0,3
11.0,9
11.0,7
10.0,20
10.0,6
12.0,8
9.0,9
11.0,9
9.0,3
12.0,26
11.0,14
8.0,18
11.0,6
11.0,9
11.0,4
12.0,12
11.0,8
9.0,15
11.0,15
10.0,9
11.0,11
11.0,7
12.0,5
10.0,3
11.0,16
12.0,12
11.0,12
12.0,11
11.0,6
13.0,22
11.0,16
10.0,3
11.0,1
7.0,4
10.0,12
11.0,3
11.0,2
10.0,5
9.0,10
11.0,27
12.0,19
10.0,16
9.0,3
11.0,8
11.0,10
12.0,6
11.0,9
12.0,16
11.0,7
10.0,11
10.0,3
11.0,5
11.0,6
12.0,13
12.0,7
11.0,9
10.0,34
11.0,2
11.0,15
12.0,5
12.0,9
10.0,8
10.0,8
12.0,8
11.0,9
11.0,11
10.0,3
12.0,6
13.0,5
12.0,3
12.0,10
13.0,2
10.0,3
10.0,9
12.0,7
12.0,15
10.0,8
11.0,5
11.0,7
12.0,18
11.0,13
11.0,16
12.0,21
10.0,15
11.0,5
11.0,5
10.0,7
10.0,2
11.0,6
11.0,13
12.0,16
10.0,13
11.0,8
11.0,4
11.0,18
10.0,13
11.0,13
10.0,25
10.0,8
11.0,7
12.0,2
13.0,49
11.0,15
9.0,7
10.0,12
12.0,12
12.0,17
12.0,5
11.0,21
12.0,5
11.0,1
11.0,23
10.0,5
9.0,7
11.0,4
10.0,15
12.0,7
12.0,14
11.0,11
11.0,2
11.0,25
12.0,12
12.0,11
12.0,13
10.0,7
11.0,10
11.0,18
10.0,9
11.0,16
12.0,15
12.0,3
10.0,7
12.0,14
11.0,6
12.0,10
9.0,6
10.0,37
12.0,5
8.0,1
12.0,4
11.0,8
11.0,5
11.0,5
11.0,17
12.0,14
12.0,30
11.0,2
12.0,5
11.0,14
10.0,11
12.0,15
9.0,1
12.0,15
9.0,10
11.0,9
11.0,2
11.0,10
13.0,11
10.0,7
9.0,5
11.0,8
10.0,16
9.0,17
13.0,9
11.0,7
11.0,0
11.0,10
11.0,10
10.0,23
11.0,9
11.0,17
12.0,15
11.0,11
9.0,30
10.0,28
12.0,5
9.0,19
10.0,11
12.0,11
11.0,13
10.0,12
12.0,12
12.0,13
11.0,2
11.0,5
11.0,27
11.0,28
11.0,19
12.0,10
10.0,5
11.0,8
12.0,12
10.0,5
12.0,16
10.0,1
11.0,13
11.0,14
10.0,8
11.0,2
10.0,16
10.0,1
11.0,13
11.0,13
12.0,4
11.0,19
11.0,3
11.0,8
12.0,5
10.0,10
11.0,22
11.0,33
11.0,13
12.0,7
10.0,5
12.0,10
11.0,20
10.0,4
10.0,8
11.0,7
12.0,10
11.0,12
10.0,7
12.0,10
10.0,20
11.0,14
10.0,11
11.0,19
12.0,3
10.0,2
10.0,11
12.0,9
6.0,9
10.0,18
9.0,10
10.0,1
11.0,4
9.0,3
9.0,2
19.0,12
14.0,17
11.0,7
9.0,11
12.0,4
11.0,4
9.0,6
11.0,6
9.0,5
11.0,14
10.0,6
10.0,10
10.0,11
10.0,9
11.0,24
10.0,10
11.0,8
11.0,22
11.0,3
13.0,5
11.0,9
12.0,6
12.0,16
11.0,4
11.0,2
12.0,20
8.0,5
9.0,15
11.0,11
11.0,15
17.0,9
10.0,22
11.0,16
11.0,14
11.0,10
11.0,11
11.0,20
12.0,5
13.0,24
10.0,9
7.0,8
12.0,9
12.0,6
10.0,15
11.0,10
11.0,16
12.0,7
9.0,6
10.0,5
11.0,11
12.0,7
12.0,7
12.0,13
10.0,17
9.0,5
10.0,6
10.0,15
10.0,8
10.0,4
8.0,14
11.0,7
12.0,13
11.0,15
9.0,6
12.0,15
10.0,4
10.0,4
11.0,13
13.0,2
9.0,8
11.0,34
10.0,16
11.0,3
10.0,2
12.0,9
11.0,25
11.0,33
9.0,1
10.0,3
13.0,6
10.0,6
10.0,8
12.0,10
11.0,14
10.0,3
13.0,10
12.0,19
10.0,31
11.0,31
12.0,6
12.0,5
11.0,10
10.0,4
12.0,21
9.0,6
11.0,8
12.0,13
11.0,5
12.0,7
11.0,6
10.0,15
12.0,8
10.0,7
10.0,8
10.0,14
9.0,4
11.0,4
11.0,14
11.0,24
9.0,10
11.0,17
12.0,17
10.0,5
11.0,12
11.0,7
12.0,9
10.0,8
11.0,11
10.0,14
12.0,14
12.0,16
11.0,20
12.0,15
12.0,11
10.0,4
11.0,7
12.0,21
13.0,0
8.0,5
10.0,4
10.0,6
12.0,1
11.0,4
13.0,18
12.0,8
11.0,12
13.0,9
11.0,10
12.0,24
12.0,10
10.0,2
12.0,6
10.0,19
10.0,9
12.0,9
10.0,10
10.0,17
12.0,3
9.0,5
11.0,2
12.0,11
12.0,16
11.0,6
11.0,23
11.0,13
10.0,6
10.0,7
13.0,21
11.0,4
12.0,12
12.0,5
9.0,4
10.0,5
7.0,6
12.0,10
12.0,18
14.0,13
12.0,4
12.0,7
10.0,1
10.0,33
11.0,12
10.0,8
10.0,4
12.0,3
10.0,7
12.0,11
13.0,8
11.0,7
11.0,11
9.0,8
12.0,7
11.0,11
12.0,9
12.0,9
11.0,8
11.0,15
9.0,4
12.0,12
9.0,4
11.0,3
11.0,11
10.0,9
10.0,6
11.0,10
10.0,10
9.0,9
11.0,4
11.0,3
11.0,6
9.0,17
12.0,16
12.0,18
17.0,5
10.0,10
13.0,7
12.0,7
10.0,4
10.0,5
11.0,10
12.0,3
10.0,42
13.0,8
12.0,17
12.0,18
10.0,7
10.0,11
12.0,11
13.0,5
12.0,8
12.0,8
11.0,20
10.0,6
11.0,28
12.0,15
10.0,8
12.0,20
10.0,8
12.0,15
11.0,5
11.0,9
10.0,6
11.0,5
10.0,3
11.0,21
11.0,22
9.0,1
11.0,2
12.0,6
12.0,8
11.0,12
13.0,24
11.0,11
11.0,5
12.0,19
11.0,4
8.0,4
11.0,29
12.0,18
10.0,15
11.0,9
11.0,28
12.0,7
10.0,16
11.0,4
12.0,24
10.0,8
11.0,21
11.0,9
12.0,14
11.0,18
10.0,3
12.0,15
12.0,13
9.0,2
12.0,9
11.0,20
10.0,12
12.0,8
12.0,20
8.0,12
12.0,22
12.0,10
11.0,3
12.0,22
11.0,5
10.0,12
11.0,10
11.0,5
12.0,7
8.0,16
11.0,16
11.0,4
10.0,12
13.0,8
11.0,17
11.0,8
10.0,6
10.0,6
13.0,12
11.0,31
11.0,3
13.0,9
11.0,6
12.0,8
11.0,13
11.0,10
9.0,9
11.0,19
8.0,0
11.0,5
8.0,18
11.0,3
11.0,11
8.0,7
12.0,1
12.0,14
10.0,7
10.0,1
10.0,6
12.0,13
10.0,7
12.0,9
12.0,6
8.0,10
10.0,19
12.0,12
11.0,8
12.0,13
11.0,13
11.0,20
12.0,12
12.0,9
10.0,4
10.0,11
12.0,4
9.0,2
10.0,2
11.0,8
10.0,6
10.0,8
11.0,7
10.0,0
12.0,7
12.0,7
9.0,6
11.0,7
11.0,22
12.0,15
11.0,9
11.0,23
11.0,11
10.0,1
10.0,7
11.0,10
11.0,10
11.0,14
11.0,4
10.0,14
12.0,39
12.0,6
10.0,16
11.0,8
12.0,3
10.0,3
12.0,5
10.0,12
12.0,7
12.0,6
10.0,5
13.0,13
10.0,4
12.0,7
11.0,4
9.0,0
10.0,3
10.0,7
11.0,20
10.0,5
11.0,24
12.0,13
10.0,4
12.0,11
12.0,8
10.0,7
10.0,11
11.0,1
9.0,2
11.0,3
10.0,6
11.0,11
13.0,4
11.0,16
11.0,9
12.0,11
12.0,6
11.0,5
10.0,19
11.0,2
11.0,3
9.0,11
11.0,7
10.0,3
9.0,0
13.0,8
11.0,20
10.0,7
11.0,5
10.0,4
11.0,7
9.0,12
11.0,24
12.0,10
12.0,9
11.0,9
11.0,5
10.0,21
11.0,10
10.0,11
12.0,35
10.0,16
12.0,11
12.0,9
10.0,2
13.0,16
13.0,6
11.0,14
10.0,8
11.0,8
11.0,39
10.0,24
12.0,19
11.0,3
11.0,12
9.0,5
11.0,5
10.0,1
12.0,7
13.0,14
11.0,5
10.0,7
11.0,20
11.0,15
9.0,14
12.0,5
11.0,15
12.0,7
11.0,24
11.0,10
10.0,6
10.0,13
10.0,6
17.0,4
11.0,13
10.0,13
9.0,12
12.0,20
11.0,22
10.0,20
11.0,14
11.0,8
12.0,5
11.0,4
10.0,23
12.0,16
12.0,9
11.0,13
12.0,3
10.0,8
10.0,2
11.0,0
10.0,8
12.0,17
12.0,18
9.0,7
11.0,7
10.0,7
11.0,3
11.0,17
12.0,4
11.0,11
11.0,13
11.0,27
12.0,6
11.0,13
12.0,10
9.0,1
10.0,9
12.0,14
9.0,3
11.0,3
11.0,9
11.0,11
12.0,15
12.0,8
11.0,14
11.0,10
10.0,22
11.0,19
12.0,11
9.0,2
11.0,6
11.0,8
8.0,2
13.0,18
11.0,18
12.0,14
11.0,11
11.0,8
12.0,5
11.0,6
10.0,15
11.0,5
10.0,1
10.0,20
10.0,30
12.0,9
12.0,8
16.0,13
12.0,10
11.0,4
9.0,8
13.0,4
9.0,1
12.0,15
12.0,20
10.0,9
12.0,3
9.0,2
10.0,1
11.0,6
9.0,8
11.0,2
11.0,5
11.0,8
11.0,6
11.0,11
9.0,1
10.0,11
11.0,6
11.0,6
12.0,5
11.0,8
10.0,4
10.0,4
8.0,0
11.0,8
11.0,16
10.0,10
11.0,0
9.0,12
12.0,13
11.0,10
10.0,4
11.0,11
11.0,16
9.0,6
12.0,6
12.0,20
12.0,18
10.0,15
17.0,24
10.0,15
11.0,5
12.0,3
10.0,5
11.0,12
13.0,26
9.0,3
11.0,17
12.0,11
12.0,25
11.0,10
12.0,9
11.0,11
11.0,7
11.0,8
12.0,20
9.0,16
10.0,15
11.0,14
10.0,8
10.0,5
9.0,4
12.0,13
11.0,30
9.0,7
11.0,7
13.0,5
12.0,6
12.0,10
13.0,27
12.0,12
13.0,8
11.0,7
13.0,15
9.0,14
12.0,4
13.0,3
10.0,3
11.0,17
11.0,22
10.0,9
11.0,17
9.0,1
10.0,5
10.0,8
11.0,5
11.0,8
12.0,30
11.0,24
11.0,12
11.0,33
16.0,2
12.0,7
10.0,5
12.0,12
12.0,8
11.0,9
10.0,8
17.0,18
10.0,5
11.0,1
11.0,13
11.0,6
11.0,4
11.0,9
11.0,18
12.0,9
12.0,3
12.0,1
11.0,6
12.0,7
12.0,5
9.0,17
8.0,12
11.0,8
11.0,5
11.0,13
11.0,6
11.0,7
11.0,14
12.0,11
10.0,14
12.0,16
6.0,4
10.0,17
11.0,17
8.0,7
10.0,22
11.0,19
12.0,10
11.0,14
12.0,8
11.0,27
10.0,6
9.0,10
8.0,2
10.0,22
11.0,2
11.0,13
11.0,5
11.0,3
12.0,5
9.0,11
11.0,5
11.0,5
11.0,14
10.0,13
10.0,8
11.0,8
11.0,10
12.0,10
11.0,10
8.0,10
9.0,3
10.0,14
11.0,11
11.0,16
13.0,2
11.0,12
11.0,15
11.0,14
11.0,17
11.0,4
9.0,9
12.0,11
10.0,18
11.0,34
12.0,7
11.0,14
12.0,1
12.0,2
12.0,10
11.0,10
11.0,3
9.0,11
12.0,7
10.0,7
12.0,17
10.0,8
12.0,12
12.0,15
11.0,11
11.0,12
12.0,18
10.0,14
12.0,12
10.0,27
11.0,13
11.0,7
12.0,10
11.0,4
9.0,24
11.0,22
12.0,15
12.0,12
11.0,6
12.0,6
11.0,3
11.0,21
11.0,16
9.0,19
8.0,9
12.0,17
13.0,14
12.0,5
12.0,59
11.0,6
11.0,9
12.0,12
11.0,11
10.0,4
11.0,25
12.0,8
9.0,4
11.0,12
11.0,4
11.0,6
12.0,28
10.0,2
11.0,4
11.0,4
12.0,20
9.0,5
13.0,14
9.0,4
11.0,14
11.0,3
10.0,4
11.0,7
11.0,14
11.0,5
12.0,18
12.0,6
13.0,11
11.0,17
12.0,14
10.0,7
9.0,3
13.0,18
11.0,11
10.0,9
11.0,17
11.0,9
12.0,5
9.0,4
11.0,1
12.0,4
10.0,6
12.0,2
11.0,9
10.0,10
11.0,12
12.0,2
11.0,8
11.0,14
12.0,3
12.0,10
12.0,7
11.0,5
11.0,11
11.0,9
9.0,5
12.0,13
11.0,11
8.0,1
8.0,3
11.0,14
11.0,10
12.0,15
12.0,18
11.0,14
11.0,14
12.0,4
11.0,4
11.0,9
12.0,21
8.0,7
11.0,10
12.0,7
11.0,37
11.0,11
11.0,6
11.0,22
11.0,4
12.0,7
9.0,6
11.0,15
9.0,6
11.0,3
10.0,11
11.0,9
11.0,9
11.0,19
12.0,23
10.0,4
12.0,7
13.0,13
10.0,6
12.0,17
12.0,11
12.0,19
11.0,2
12.0,12
11.0,6
9.0,11
10.0,3
11.0,1
10.0,7
11.0,5
6.0,4
11.0,3
9.0,7
11.0,24
10.0,4
12.0,14
12.0,6
12.0,8
11.0,7
12.0,42
10.0,15
10.0,6
11.0,11
12.0,17
12.0,16
10.0,15
13.0,11
